Date,Close,Open,High,Low
07-Oct-13,8461.55,8359.15,8487.95,8359.15
08-Oct-13,8435,8483.3,8500.75,8424.1
09-Oct-13,8564.45,8408.5,8584.6,8385.55
10-Oct-13,8603.8,8585.75,8643.45,8549.15
11-Oct-13,8870.15,8899.65,8932.55,8690.4
14-Oct-13,9061.75,8868.85,9078.25,8868.85
15-Oct-13,9120.3,9109.75,9167,9064.45
16-Oct-13,9120.3,9109.75,9167,9064.45
17-Oct-13,8797.85,9111.85,9111.85,8775.1
18-Oct-13,8893.85,8821.3,8907.5,8733
21-Oct-13,8854.9,8928.45,8928.45,8712.7
22-Oct-13,8915.15,8901.35,8951.85,8891.2
23-Oct-13,8829.55,8891.3,8891.3,8739.9
24-Oct-13,8681.65,8774.15,8921,8653.85
25-Oct-13,8812.55,8670.4,8823.1,8647.95
28-Oct-13,8783.2,8796.55,8851.85,8760.8
29-Oct-13,8822.1,8784.85,8844.2,8771.4
30-Oct-13,8835.15,8803.25,8853.3,8784.9
31-Oct-13,8852.8,8814.2,8881.3,8814.2
01-Nov-13,8799.55,8840.6,8909,8787.7
04-Nov-13,8799.55,8840.6,8909,8787.7
05-Nov-13,8724.1,8780.6,8791.1,8705.95
06-Nov-13,8843.05,8766.9,8865.5,8766.9
07-Nov-13,8956.55,8882.85,9058.05,8875.05
08-Nov-13,8956.9,8969.7,9045.55,8933.9
11-Nov-13,8962.85,8943.1,9095.75,8915
12-Nov-13,8914.4,8971.65,9019.3,8899.05
13-Nov-13,8859.15,8897.5,8954.25,8845.35
14-Nov-13,8862,8912.9,8940.55,8855.55
15-Nov-13,8862,8912.9,8940.55,8855.55
18-Nov-13,8978.35,8919.4,9010.6,8919.4
19-Nov-13,9003.9,8993.4,9019.4,8964.7
20-Nov-13,8915.35,8987.2,9023.65,8902.65
21-Nov-13,8767.1,8912.55,8925.85,8745.3
22-Nov-13,8785.45,8784.5,8848.5,8755.2
25-Nov-13,8783.8,8793.45,8875.35,8738.75
26-Nov-13,8758.3,8755.05,8795.65,8712.85
27-Nov-13,8702.4,8775.8,8791.95,8680.95
28-Nov-13,8748.35,8729.25,8767,8679.1
